;Scopy version,v1.2.0,,,
;Exported on,Wednesday February 24/02/2021,,,
;Device,M2K,,,
;Nr of samples,1.00E+03,,,
;Sample rate,0.00E+00,,,
;Tool,Network Analyzer,,,
;Additional Information,Reference channel: 1,,,
Sample,Frequency(Hz),Magnitude(dB),Phase(°),Amplitude
0,1.00E+02,-0.0855872,-7.40493,9.90E-01
1,1.01E+02,-0.0833828,-7.40233,9.90E-01
2,1.01E+02,-0.0844602,-7.45579,9.90E-01
3,1.02E+02,-0.0945116,-7.53567,9.89E-01
4,1.03E+02,-0.0832845,-7.61293,9.90E-01
5,1.04E+02,-0.0948118,-7.58272,9.89E-01
6,1.04E+02,-0.0962613,-7.68446,9.89E-01
7,1.05E+02,-0.0934866,-7.7986,9.89E-01
8,1.06E+02,-0.0867767,-7.75652,9.90E-01
9,1.06E+02,-0.0972119,-7.87074,9.89E-01
10,1.07E+02,-0.0967864,-7.93694,9.89E-01
11,1.08E+02,-0.0926648,-7.96636,9.89E-01
12,1.09E+02,-0.0969491,-8.02123,9.89E-01
13,1.09E+02,-0.111767,-8.00657,9.87E-01
14,1.10E+02,-0.0986782,-8.07659,9.89E-01
15,1.11E+02,-0.106544,-8.22816,9.88E-01
16,1.12E+02,-0.0937723,-8.23059,9.89E-01
17,1.12E+02,-0.106236,-8.32456,9.88E-01
18,1.13E+02,-0.107157,-8.41888,9.88E-01
19,1.14E+02,-0.0982583,-8.36197,9.89E-01
20,1.15E+02,-0.109243,-8.45789,9.88E-01
21,1.16E+02,-0.109747,-8.40673,9.87E-01
22,1.16E+02,-0.120539,-8.57553,9.86E-01
23,1.17E+02,-0.119955,-8.56735,9.86E-01
24,1.18E+02,-0.106981,-8.65906,9.88E-01
25,1.19E+02,-0.120055,-8.72579,9.86E-01
26,1.20E+02,-0.107899,-8.8118,9.88E-01
27,1.21E+02,-0.123433,-8.88586,9.86E-01
28,1.21E+02,-0.137231,-8.93714,9.84E-01
29,1.22E+02,-0.11914,-8.97598,9.86E-01
30,1.23E+02,-0.120674,-9.03932,9.86E-01
31,1.24E+02,-0.122857,-9.10102,9.86E-01
32,1.25E+02,-0.128142,-9.2004,9.85E-01
33,1.26E+02,-0.13517,-9.26028,9.85E-01
34,1.27E+02,-0.136368,-9.27735,9.84E-01
35,1.27E+02,-0.136838,-9.33895,9.84E-01
36,1.28E+02,-0.154955,-9.38477,9.82E-01
37,1.29E+02,-0.147794,-9.58805,9.83E-01
38,1.30E+02,-0.156341,-9.59072,9.82E-01
39,1.31E+02,-0.1296,-9.61458,9.85E-01
40,1.32E+02,-0.153378,-9.77539,9.82E-01
41,1.33E+02,-0.158764,-9.765,9.82E-01
42,1.34E+02,-0.152255,-9.87741,9.83E-01
43,1.35E+02,-0.151592,-9.9513,9.83E-01
44,1.36E+02,-0.151144,-10.0286,9.83E-01
45,1.37E+02,-0.143995,-9.98151,9.84E-01
46,1.37E+02,-0.164135,-10.0297,9.81E-01
47,1.38E+02,-0.158166,-10.23,9.82E-01
48,1.39E+02,-0.172252,-10.2671,9.80E-01
49,1.40E+02,-0.16372,-10.2124,9.81E-01
50,1.41E+02,-0.156728,-10.4029,9.82E-01
51,1.42E+02,-0.153823,-10.4172,9.82E-01
52,1.43E+02,-0.159038,-10.4603,9.82E-01
53,1.44E+02,-0.172419,-10.6836,9.80E-01
54,1.45E+02,-0.188529,-10.5826,9.79E-01
55,1.46E+02,-0.190774,-10.8044,9.78E-01
56,1.47E+02,-0.175257,-10.8911,9.80E-01
57,1.48E+02,-0.200486,-10.8937,9.77E-01
58,1.49E+02,-0.203919,-10.9357,9.77E-01
59,1.50E+02,-0.187044,-10.9812,9.79E-01
60,1.51E+02,-0.18723,-11.0945,9.79E-01
61,1.52E+02,-0.193234,-11.161,9.78E-01
62,1.54E+02,-0.198971,-11.253,9.77E-01
63,1.55E+02,-0.201557,-11.334,9.77E-01
64,1.56E+02,-0.209126,-11.3568,9.76E-01
65,1.57E+02,-0.1924,-11.5405,9.78E-01
66,1.58E+02,-0.2038,-11.6568,9.77E-01
67,1.59E+02,-0.192695,-11.4699,9.78E-01
68,1.60E+02,-0.235221,-11.7061,9.73E-01
69,1.61E+02,-0.209205,-11.738,9.76E-01
70,1.62E+02,-0.20902,-11.8925,9.76E-01
71,1.63E+02,-0.225839,-11.9712,9.74E-01
72,1.65E+02,-0.204171,-12.0369,9.77E-01
73,1.66E+02,-0.231711,-12.191,9.74E-01
74,1.67E+02,-0.24992,-12.1003,9.72E-01
75,1.68E+02,-0.226905,-12.2209,9.74E-01
76,1.69E+02,-0.231447,-12.2746,9.74E-01
77,1.70E+02,-0.217601,-12.4689,9.75E-01
78,1.71E+02,-0.245171,-12.3931,9.72E-01
79,1.73E+02,-0.247233,-12.4001,9.72E-01
80,1.74E+02,-0.240679,-12.6154,9.73E-01
81,1.75E+02,-0.236505,-12.7768,9.73E-01
82,1.76E+02,-0.238839,-12.7245,9.73E-01
83,1.78E+02,-0.251344,-12.7404,9.71E-01
84,1.79E+02,-0.264014,-12.802,9.70E-01
85,1.80E+02,-0.252451,-13.0709,9.71E-01
86,1.81E+02,-0.268358,-13.1099,9.70E-01
87,1.82E+02,-0.283045,-13.3155,9.68E-01
88,1.84E+02,-0.250644,-13.1617,9.72E-01
89,1.85E+02,-0.271352,-13.4629,9.69E-01
90,1.86E+02,-0.280108,-13.5781,9.68E-01
91,1.88E+02,-0.293622,-13.54,9.67E-01
92,1.89E+02,-0.278923,-13.9601,9.68E-01
93,1.90E+02,-0.279696,-13.8235,9.68E-01
94,1.92E+02,-0.281832,-13.7784,9.68E-01
95,1.93E+02,-0.268055,-14.0487,9.70E-01
96,1.94E+02,-0.328544,-13.9151,9.63E-01
97,1.96E+02,-0.29111,-14.207,9.67E-01
98,1.97E+02,-0.28861,-14.1233,9.67E-01
99,1.98E+02,-0.313651,-14.581,9.65E-01
100,2.00E+02,-0.307357,-14.4703,9.65E-01
101,2.01E+02,-0.326235,-14.4357,9.63E-01
102,2.02E+02,-0.286447,-14.5631,9.68E-01
103,2.04E+02,-0.318947,-14.7156,9.64E-01
104,2.05E+02,-0.309832,-14.752,9.65E-01
105,2.07E+02,-0.338027,-15.1577,9.62E-01
106,2.08E+02,-0.331446,-15.0352,9.63E-01
107,2.10E+02,-0.350769,-15.0139,9.60E-01
108,2.11E+02,-0.315402,-15.4027,9.64E-01
109,2.12E+02,-0.338636,-15.2903,9.62E-01
110,2.14E+02,-0.371914,-15.4672,9.58E-01
111,2.15E+02,-0.380683,-15.7626,9.57E-01
112,2.17E+02,-0.355974,-15.6624,9.60E-01
113,2.18E+02,-0.364472,-15.5087,9.59E-01
114,2.20E+02,-0.388078,-15.5164,9.56E-01
115,2.21E+02,-0.359141,-15.9608,9.59E-01
116,2.23E+02,-0.368769,-15.795,9.58E-01
117,2.25E+02,-0.383232,-16.1493,9.57E-01
118,2.26E+02,-0.40914,-16.1633,9.54E-01
119,2.28E+02,-0.39564,-16.6417,9.55E-01
120,2.29E+02,-0.390434,-16.5168,9.56E-01
121,2.31E+02,-0.41936,-16.3674,9.53E-01
122,2.32E+02,-0.413721,-16.6723,9.53E-01
